epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,360.17,2.90953,0.61256,0.85899,1.48548,0.070006,0.00333267,0.00333267
2,713.656,1.80791,0.70034,0.90548,1.12284,0.0400043,0.00666438,0.00666438
3,1060.84,1.8483,0.70802,0.90588,1.11523,0.00999619,0.00998957,0.00998957
4,1406.68,1.85357,0.73806,0.91738,1.00162,0.00997803,0.00997803,0.00997803
5,1751.87,1.63467,0.76527,0.93026,0.89794,0.00996097,0.00996097,0.00996097
6,2093.87,1.48852,0.7844,0.93651,0.82493,0.00993906,0.00993906,0.00993906
7,2428,1.38336,0.79406,0.94345,0.7813,0.00991232,0.00991232,0.00991232
8,2741.81,1.31948,0.80204,0.94682,0.75058,0.00988079,0.00988079,0.00988079
9,3044.24,1.2575,0.8073,0.94984,0.72745,0.00984449,0.00984449,0.00984449
10,3339.91,1.21727,0.81111,0.95044,0.71523,0.00980345,0.00980345,0.00980345
11,3628.99,1.18416,0.81319,0.95088,0.70463,0.00975773,0.00975773,0.00975773
12,3918.75,1.15795,0.81557,0.95207,0.69804,0.00970736,0.00970736,0.00970736
13,4208.68,1.13556,0.81721,0.95212,0.69232,0.00965239,0.00965239,0.00965239
14,4498.62,1.1154,0.81835,0.95237,0.68843,0.00959289,0.00959289,0.00959289
15,4787.89,1.1037,0.81998,0.95252,0.68486,0.00952889,0.00952889,0.00952889
16,5077.8,1.08812,0.81998,0.95242,0.68255,0.00946048,0.00946048,0.00946048
17,5367.57,1.07101,0.82127,0.95296,0.67959,0.00938772,0.00938772,0.00938772
18,5656.85,1.05727,0.82172,0.95316,0.67679,0.00931067,0.00931067,0.00931067
19,5946.84,1.04718,0.82207,0.95351,0.67426,0.00922942,0.00922942,0.00922942
20,6236.41,1.03958,0.82251,0.95371,0.66974,0.00914405,0.00914405,0.00914405
21,6526.07,1.01883,0.8242,0.9541,0.66525,0.00905463,0.00905463,0.00905463
22,6816.05,1.01931,0.82514,0.9544,0.66271,0.00896127,0.00896127,0.00896127
23,7105.46,1.00433,0.82583,0.95475,0.6596,0.00886404,0.00886404,0.00886404
24,7395.23,0.99117,0.82672,0.955,0.6562,0.00876305,0.00876305,0.00876305
25,7684.67,0.98129,0.82717,0.95524,0.65382,0.00865839,0.00865839,0.00865839
26,7974.71,0.97674,0.82796,0.95544,0.64994,0.00855018,0.00855018,0.00855018
27,8264.72,0.9652,0.82896,0.955,0.64738,0.00843851,0.00843851,0.00843851
28,8554.61,0.96102,0.83034,0.95539,0.64356,0.00832349,0.00832349,0.00832349
29,8844.45,0.94325,0.83168,0.95619,0.64092,0.00820525,0.00820525,0.00820525
30,9133.94,0.93448,0.83312,0.95633,0.63772,0.00808389,0.00808389,0.00808389
31,9423.86,0.92881,0.83352,0.95638,0.63461,0.00795954,0.00795954,0.00795954
32,9713.94,0.91307,0.83396,0.95703,0.63206,0.00783231,0.00783231,0.00783231
33,10004.6,0.9099,0.835,0.95767,0.62897,0.00770234,0.00770234,0.00770234
34,10287.2,0.89262,0.83575,0.95832,0.62531,0.00756976,0.00756976,0.00756976
35,10571.3,0.88848,0.83624,0.95847,0.62236,0.00743468,0.00743468,0.00743468
36,10855,0.88128,0.83708,0.95916,0.61939,0.00729725,0.00729725,0.00729725
37,11146,0.87115,0.83867,0.9597,0.61632,0.00715761,0.00715761,0.00715761
38,11437.5,0.85307,0.84021,0.9601,0.61321,0.00701588,0.00701588,0.00701588
39,11728.1,0.84584,0.84045,0.9602,0.61192,0.00687222,0.00687222,0.00687222
40,12018.8,0.83715,0.8407,0.96035,0.60789,0.00672675,0.00672675,0.00672675
41,12308.9,0.83313,0.84204,0.96035,0.60562,0.00657963,0.00657963,0.00657963
42,12599.6,0.81284,0.84239,0.9606,0.60221,0.00643101,0.00643101,0.00643101
43,12890.3,0.80468,0.84288,0.9606,0.59997,0.00628101,0.00628101,0.00628101
44,13181.5,0.798,0.84482,0.96079,0.59798,0.00612981,0.00612981,0.00612981
45,13472.6,0.78564,0.84521,0.96119,0.59575,0.00597754,0.00597754,0.00597754
46,13763.5,0.77196,0.84546,0.96174,0.59283,0.00582435,0.00582435,0.00582435
47,14053.9,0.75861,0.8464,0.96208,0.59093,0.0056704,0.0056704,0.0056704
48,14345,0.74967,0.84685,0.96213,0.58848,0.00551584,0.00551584,0.00551584
49,14636,0.73369,0.84739,0.96228,0.58475,0.00536081,0.00536081,0.00536081
50,14926.6,0.72704,0.84789,0.96278,0.58181,0.00520548,0.00520548,0.00520548
51,15217.1,0.71245,0.84908,0.96303,0.57944,0.00505,0.00505,0.00505
52,15508.4,0.6962,0.84992,0.96327,0.5765,0.00489452,0.00489452,0.00489452
53,15799.7,0.68699,0.85037,0.96357,0.57434,0.00473919,0.00473919,0.00473919
54,16090.3,0.67395,0.85042,0.96387,0.57204,0.00458416,0.00458416,0.00458416
55,16381.1,0.6609,0.85175,0.96436,0.57013,0.0044296,0.0044296,0.0044296
56,16672.2,0.64977,0.85225,0.96446,0.56826,0.00427565,0.00427565,0.00427565
57,16962.9,0.62863,0.85235,0.96436,0.56721,0.00412246,0.00412246,0.00412246
58,17253.6,0.61856,0.85299,0.96501,0.5661,0.00397019,0.00397019,0.00397019
59,17544.4,0.61064,0.85289,0.96476,0.56509,0.00381899,0.00381899,0.00381899
60,17834.9,0.58994,0.85289,0.96516,0.56364,0.00366899,0.00366899,0.00366899
61,18125.2,0.5788,0.85364,0.96496,0.56223,0.00352037,0.00352037,0.00352037
62,18416.3,0.56222,0.85483,0.96526,0.56142,0.00337325,0.00337325,0.00337325
63,18707,0.55029,0.85557,0.9656,0.55899,0.00322778,0.00322778,0.00322778
64,18997.3,0.53221,0.85602,0.96595,0.55854,0.00308412,0.00308412,0.00308412
65,19287.8,0.52441,0.85617,0.96595,0.55828,0.00294239,0.00294239,0.00294239
66,19578.7,0.51321,0.85641,0.966,0.55716,0.00280275,0.00280275,0.00280275
67,19869.7,0.49458,0.85631,0.96615,0.55756,0.00266532,0.00266532,0.00266532
68,20160.6,0.47472,0.85696,0.9663,0.55784,0.00253024,0.00253024,0.00253024
69,20453,0.4656,0.85711,0.9663,0.55764,0.00239766,0.00239766,0.00239766
70,20743.4,0.44987,0.85686,0.96635,0.55774,0.00226769,0.00226769,0.00226769
71,21032.2,0.43525,0.85711,0.96635,0.55772,0.00214046,0.00214046,0.00214046
72,21326.2,0.41712,0.85721,0.96659,0.55695,0.00201611,0.00201611,0.00201611
73,21622.8,0.40551,0.85755,0.9664,0.55705,0.00189475,0.00189475,0.00189475
74,21918.1,0.38942,0.85765,0.96654,0.55729,0.00177651,0.00177651,0.00177651
75,22212.4,0.37417,0.85815,0.9663,0.55809,0.00166149,0.00166149,0.00166149
76,22507.2,0.36302,0.8582,0.9661,0.55895,0.00154982,0.00154982,0.00154982
77,22799.7,0.34772,0.85845,0.966,0.56073,0.00144161,0.00144161,0.00144161
78,23088.8,0.33553,0.85879,0.96605,0.56068,0.00133695,0.00133695,0.00133695
79,23376.4,0.32003,0.85854,0.96595,0.56116,0.00123596,0.00123596,0.00123596
80,23671.6,0.31233,0.85845,0.96595,0.56134,0.00113873,0.00113873,0.00113873
81,23960.8,0.2965,0.85835,0.9664,0.56223,0.00104537,0.00104537,0.00104537
82,24245.7,0.29075,0.85869,0.9663,0.56228,0.000955951,0.000955951,0.000955951
83,24535.9,0.2751,0.85914,0.96635,0.5632,0.000870577,0.000870577,0.000870577
84,24826.9,0.26573,0.85859,0.966,0.56365,0.000789327,0.000789327,0.000789327
85,25117,0.25516,0.85924,0.96605,0.56361,0.000712282,0.000712282,0.000712282
86,25407.4,0.24485,0.85914,0.96595,0.56456,0.000639518,0.000639518,0.000639518
87,25698.1,0.23664,0.85954,0.9658,0.56629,0.000571106,0.000571106,0.000571106
88,25988.4,0.23149,0.86043,0.9659,0.56741,0.000507115,0.000507115,0.000507115
89,26278.9,0.22356,0.86073,0.96595,0.56891,0.000447606,0.000447606,0.000447606
90,26586.7,0.21726,0.86102,0.96585,0.5696,0.00039264,0.00039264,0.00039264
91,26967.1,0.20961,0.86073,0.96595,0.57079,0.00034227,0.00034227,0.00034227
92,27300.8,0.20444,0.86043,0.966,0.57239,0.000296546,0.000296546,0.000296546
93,27622.2,0.19872,0.86073,0.96595,0.5739,0.000255513,0.000255513,0.000255513
94,27951.3,0.19344,0.86092,0.9659,0.57468,0.000219212,0.000219212,0.000219212
95,28261.9,0.19284,0.86097,0.96575,0.57622,0.000187678,0.000187678,0.000187678
96,28553.7,0.18702,0.86087,0.9659,0.57785,0.000160943,0.000160943,0.000160943
97,28848.3,0.18717,0.86082,0.96555,0.57928,0.000139032,0.000139032,0.000139032
98,29140.6,0.18371,0.86092,0.96545,0.58053,0.000121968,0.000121968,0.000121968
99,29432.7,0.17979,0.86157,0.96545,0.58137,0.000109768,0.000109768,0.000109768
100,29727.3,0.18251,0.86107,0.9657,0.58292,0.000102443,0.000102443,0.000102443
